t_hover,E_req_J,exceeds_avail
5.288023157261026341e+01,5.970502039303472266e+05,0.000000000000000000e+00
4.009121352961601303e+01,5.437796544002111768e+05,0.000000000000000000e+00
5.389273273469105163e+01,6.012676108589028008e+05,0.000000000000000000e+00
6.182898492481225361e+01,6.343247630152477650e+05,1.000000000000000000e+00
7.219451757203179909e+01,6.775006830455139279e+05,1.000000000000000000e+00
5.579145557150821588e+01,6.091764282976330724e+05,1.000000000000000000e+00
3.462454158168343099e+01,5.210091322390611749e+05,0.000000000000000000e+00
4.063213714939417542e+01,5.460327827000182588e+05,0.000000000000000000e+00
3.583640591638506123e+01,5.260569536471239990e+05,0.000000000000000000e+00
6.251995156878329141e+01,6.372028708345962223e+05,1.000000000000000000e+00
6.842055905896327772e+01,6.617808800693014637e+05,1.000000000000000000e+00
4.831841061481061672e+01,5.780486896261901129e+05,0.000000000000000000e+00
5.493839591401906830e+01,6.056231487116893986e+05,0.000000000000000000e+00
5.758039902371945118e+01,6.166279777799511794e+05,1.000000000000000000e+00
5.226888815418566736e+01,5.945037535506833810e+05,0.000000000000000000e+00
3.587784335026634608e+01,5.262295544571748469e+05,0.000000000000000000e+00
3.926281248864594176e+01,5.403290862224623561e+05,0.000000000000000000e+00
5.697809570011997948e+01,6.141191824272425147e+05,1.000000000000000000e+00
4.345956791215817105e+01,5.578099801349188201e+05,0.000000000000000000e+00
3.300013567752802146e+01,5.142429368295739987e+05,0.000000000000000000e+00
3.849137328833189997e+01,5.371157832157996017e+05,0.000000000000000000e+00
4.510451866693666290e+01,5.646617517379047349e+05,0.000000000000000000e+00
5.806420771774637757e+01,6.186432032579064835e+05,1.000000000000000000e+00
6.374435532691880013e+01,6.423029231469293591e+05,1.000000000000000000e+00
5.699890447430776419e+01,6.142058579509070842e+05,1.000000000000000000e+00
5.955312734478285108e+01,6.248450528816848528e+05,1.000000000000000000e+00
5.836848316287981220e+01,6.199106125395490089e+05,1.000000000000000000e+00
5.609983212205170844e+01,6.104609200588014210e+05,1.000000000000000000e+00
4.438362064675585827e+01,5.616589696977890562e+05,0.000000000000000000e+00
5.947629849599179863e+01,6.245250349584082142e+05,1.000000000000000000e+00
4.741505549606809922e+01,5.742859125752471155e+05,0.000000000000000000e+00
7.441891965134752240e+01,6.867660637606531382e+05,1.000000000000000000e+00
4.166467384684690245e+01,5.503336443532293197e+05,0.000000000000000000e+00
4.646782293491091309e+01,5.703403712603434687e+05,0.000000000000000000e+00
4.598003049251764907e+01,5.683085521343105938e+05,0.000000000000000000e+00
7.271480949218124579e+01,6.796678733965849970e+05,1.000000000000000000e+00
3.637346879195876426e+01,5.282940006524426863e+05,0.000000000000000000e+00
4.621151070996283039e+01,5.692727448774285149e+05,0.000000000000000000e+00
5.503263131733828573e+01,6.060156707726586610e+05,1.000000000000000000e+00
5.788940515093290173e+01,6.179150919391071657e+05,1.000000000000000000e+00
4.407939481258462422e+01,5.603917670624434249e+05,0.000000000000000000e+00
